Open Shifts Report for New York Market (1/6/2020 - 1/31/2020),,,,,,
Date,Location,Shift Name,Start,End,Hours,Comments
1/6/2020,NY Astoria Staff: 128S,RT,8:00 AM,8:00 PM,12,
1/6/2020,NY Bay Shore Staff: 106S,Scribe,8:00 AM,8:00 PM,12,
1/6/2020,NY Bullshead Staff: 146S,Scribe,3:00 PM,8:00 PM,5,
1/6/2020,NY Commack Staff: 133S,Scribe,8:00 AM,8:00 PM,12,
1/6/2020,NY Dongan Hills Staff: 111S,Scribe,2:00 PM,8:00 PM,6,
1/6/2020,NY Eltingville Staff: 152S,Scribe,2:00 PM,8:00 PM,6,
1/6/2020,NY GoFollow Staff: 100GFS,CCrep1,9:00 AM,5:00 PM,8,
1/6/2020,NY GoFollow Staff: 100GFS,CCrep4,10:00 AM,6:00 PM,8,
1/6/2020,NY Great Kills Staff: 109S,Scribe,2:00 PM,8:00 AM,18,
1/6/2020,NY LeFrak Staff: 108S,MA,4:00 PM,8:00 PM,4,
1/6/2020,NY Massapequa Staff: 102S,Scribe,8:00 AM,8:00 PM,12,
1/6/2020,NY New Rochelle Staff: 121S,MA,8:00 AM,8:00 PM,12,
1/6/2020,NY Plainview Staff: 105S,Scribe,8:00 AM,8:00 PM,12,
1/6/2020,NY Port Jefferson Staff: 601S,Scribe,8:00 AM,8:00 PM,12,
1/6/2020,NY Ridgewood Staff: 113S,Scribe,2:00 PM,8:00 PM,6,
1/6/2020,NY Riverhead Staff: 147S,Scribe,8:00 AM,8:00 PM,12,
1/6/2020,NY Rockville Center Staff: 112S,RT,8:00 AM,8:00 PM,12,
1/6/2020,NY Syosset Staff: 107S,Scribe,8:00 AM,8:00 PM,12,
1/6/2020,NY Training: Staff: 100TRNS,Train,8:00 AM,8:00 PM,12,
1/6/2020,NY Yorktown Heights Staff: 122S,Scribe,8:00 AM,4:00 PM,8,
1/7/2020,NY Amityville Staff: 134S,Scribe,8:00 AM,8:00 PM,12,
1/7/2020,NY Bay Shore Staff: 106S,UN RT,2:00 PM,8:00 PM,6,
1/7/2020,NY Bullshead Staff: 146S,MA,3:30 PM,8:00 PM,4.5,
1/7/2020,NY Dobbs Ferry Staff: 136S,MA,8:00 AM,2:00 PM,6,
1/7/2020,NY Dongan Hills Staff: 111S,Scribe,2:00 PM,8:00 PM,6,
1/7/2020,NY Forest Hills Staff: 101S,RT,8:00 AM,2:00 PM,6,
1/7/2020,NY Glen Cove Staff: 160S,RT,8:00 AM,5:00 PM,9,
1/7/2020,NY GoFollow Staff: 100GFS,CCrep1,9:00 AM,5:00 PM,8,
1/7/2020,NY GoFollow Staff: 100GFS,CCrep4,10:00 AM,6:00 PM,8,
1/7/2020,NY Great Neck Staff: 144S,MA,8:00 AM,8:00 PM,12,
1/7/2020,NY Greenvale Staff: 141S,RT,11:30 AM,8:00 PM,8.5,
1/7/2020,NY Huntington Staff: 161S,Scribe,8:00 AM,8:00 PM,12,
1/7/2020,NY New Rochelle Staff: 121S,MA,12:00 PM,6:00 PM,6,
1/7/2020,NY Port Jefferson Staff: 601S,Scribe,8:00 AM,8:00 PM,12,
1/7/2020,NY Smithtown Staff: 135S,Scribe,8:00 AM,8:00 PM,12,
1/7/2020,NY Training: Staff: 100TRNS,Train,8:00 AM,8:00 PM,12,
1/7/2020,NY W. 69th Staff: 118S,UN RT,8:00 AM,8:00 PM,12,
1/8/2020,NY Amityville Staff: 134S,Scribe,8:00 AM,8:00 PM,12,
1/8/2020,NY Eltingville Staff: 152S,Scribe,2:00 PM,8:00 PM,6,
1/8/2020,NY GoFollow Staff: 100GFS,CCrep3,9:00 AM,5:00 PM,8,
1/8/2020,NY GoFollow Staff: 100GFS,CCrep4,10:00 AM,6:00 PM,8,
1/8/2020,NY Great Neck Staff: 144S,RT,2:00 PM,8:00 PM,6,
1/8/2020,NY Huntington Staff: 161S,Scribe,2:00 PM,8:00 PM,6,
1/8/2020,NY Huntington Station Staff: 126S,Scribe,2:00 PM,8:00 PM,6,
1/8/2020,NY Levittown Staff: 120S,MA,8:00 AM,8:00 PM,12,
1/8/2020,NY Mineola Staff: 138S,RT,2:00 PM,8:00 PM,6,
1/8/2020,NY Mineola Staff: 138S,MA,2:00 PM,8:00 PM,6,
1/8/2020,NY New Dorp Staff: 110S,MA,2:00 PM,8:00 PM,6,
1/8/2020,NY New Rochelle Staff: 121S,MA,2:00 PM,8:00 PM,6,
1/8/2020,NY Oceanside Staff: 151S,MA,8:00 AM,8:00 PM,12,
1/8/2020,NY Port Jefferson Staff: 601S,Scribe,8:00 AM,8:00 PM,12,
1/8/2020,NY Port Washington Staff: 143S,MA,8:00 AM,2:00 PM,6,
1/8/2020,NY Port Washington Staff: 143S,RT,8:00 AM,2:00 PM,6,
1/8/2020,NY Sayville Staff: 157S,Scribe,2:00 PM,8:00 PM,6,
1/8/2020,NY Smithtown Staff: 135S,Scribe,8:00 AM,8:00 PM,12,
1/8/2020,NY Training: Staff: 100TRNS,Train,8:00 AM,8:00 PM,12,
1/8/2020,NY W. 100th Staff: 129S,RT,2:00 PM,8:00 PM,6,
1/9/2020,NY Amityville Staff: 134S,Scribe,8:00 AM,8:00 PM,12,
1/9/2020,NY Dobbs Ferry Staff: 136S,MA,2:00 PM,8:00 PM,6,
1/9/2020,NY Dongan Hills Staff: 111S,Scribe,2:00 PM,8:00 PM,6,
1/9/2020,NY GoFollow Staff: 100GFS,CCrep1,9:00 AM,5:00 PM,8,
1/9/2020,NY Huntington Staff: 161S,Scribe,8:00 AM,8:00 PM,12,
1/9/2020,NY Lynbrook Staff: 130S,Scribe,8:00 AM,8:00 PM,12,
1/9/2020,NY Port Jefferson Staff: 601S,Scribe,8:00 AM,8:00 PM,12,
1/9/2020,NY Training: Staff: 100TRNS,Train,8:00 AM,8:00 PM,12,
1/9/2020,NY W. 69th Staff: 118S,RT,9:00 AM,2:00 PM,5,
1/10/2020,NY Amityville Staff: 134S,Scribe,8:00 AM,8:00 PM,12,
1/10/2020,NY Bay Shore Staff: 106S,MA,3:00 PM,8:00 PM,5,
1/10/2020,NY Bullshead Staff: 146S,Scribe,3:00 PM,8:00 PM,5,
1/10/2020,NY Dobbs Ferry Staff: 136S,RT,2:00 PM,8:00 PM,6,
1/10/2020,NY Dongan Hills Staff: 111S,Scribe,8:00 AM,8:00 PM,12,
1/10/2020,NY Eltingville Staff: 152S,MA,8:00 AM,3:30 PM,7.5,
1/10/2020,NY Forest Hills Staff: 101S,Scribe,2:00 PM,8:00 PM,6,
1/10/2020,NY Glen Cove Staff: 160S,MA,8:00 AM,8:00 PM,12,
1/10/2020,NY GoFollow Staff: 100GFS,CCrep4,10:00 AM,6:00 PM,8,
1/10/2020,NY Hewlett PEDS: 155,UN RT,4:00 PM,10:00 PM,6,
1/10/2020,NY Huntington Staff: 161S,Scribe,8:00 AM,8:00 PM,12,
1/10/2020,NY Levittown Staff: 120S,MA,8:00 AM,2:00 PM,6,
1/10/2020,NY New Rochelle Staff: 121S,MA,8:00 AM,8:00 PM,12,
1/10/2020,NY Plainview Staff: 105S,Scribe,8:00 AM,8:00 PM,12,
1/10/2020,NY Port Jefferson Staff: 601S,Scribe,8:00 AM,8:00 PM,12,
1/10/2020,NY Roslyn Staff: 119S,Scribe,8:00 AM,8:00 PM,12,
1/10/2020,NY Smithtown Staff: 135S,Scribe,8:00 AM,8:00 PM,12,
1/10/2020,NY Training: Staff: 100TRNS,Train,8:00 AM,8:00 PM,12,
